Method,POLYDEG,NELEM,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
DG P1,1,8,64,192,1.260812e+01,0.0000,9.070743e+00,0.0000,0.640
DG P1,1,16,128,384,6.009993e+00,1.0689,4.540596e+00,0.9983,2.185
DG P1,1,32,256,768,1.881210e+00,1.6757,1.375233e+00,1.7232,8.276
DG P1,1,64,512,1536,3.938040e-01,2.2561,2.797672e-01,2.2974,25.613
DG P1,1,128,1024,3072,8.008858e-02,2.2978,5.502084e-02,2.3462,67.364
DG P1,1,256,2048,6144,1.724205e-02,2.2157,1.170454e-02,2.2329,172.983
DG P1,1,512,4096,12288,3.932740e-03,2.1323,2.652463e-03,2.1417,434.546
DG P1,1,1024,8192,24576,9.312075e-04,2.0784,6.246867e-04,2.0861,1122.196
DG P1,1,2048,16384,49152,2.227760e-04,2.0635,1.483697e-04,2.0739,2356.713
DG P1,1,4096,32768,98304,5.116679e-05,2.1223,3.319220e-05,2.1603,5153.607
DG P2,2,8,96,288,5.504240e+00,0.0000,3.717793e+00,0.0000,1.880
DG P2,2,16,192,576,8.594497e-01,2.6791,5.950555e-01,2.6434,6.906
DG P2,2,32,384,1152,6.578289e-02,3.7076,3.632671e-02,4.0339,22.875
DG P2,2,64,768,2304,5.102212e-03,3.6885,1.658479e-03,4.4531,70.702
DG P2,2,128,1536,4608,3.746636e-04,3.7675,8.910985e-05,4.2181,182.032
DG P2,2,256,3072,9216,2.446144e-05,3.9370,7.026043e-06,3.6648,451.637
DG P2,2,512,6144,18432,8.330910e-06,1.5540,4.442364e-06,0.6614,1159.667
DG P3,3,8,128,384,1.499207e+00,0.0000,1.006159e+00,0.0000,5.125
DG P3,3,16,256,768,1.007282e-01,3.8957,4.079068e-02,4.6245,25.518
DG P3,3,32,512,1536,8.931991e-03,3.4953,2.091367e-03,4.2857,70.280
DG P3,3,64,1024,3072,7.494615e-04,3.5751,2.354899e-04,3.1507,178.375
DG P3,3,128,2048,6144,5.831890e-05,3.6838,1.583323e-05,3.8946,438.969
DG P3,3,256,4096,12288,8.614766e-06,2.7591,4.503915e-06,1.8137,1107.794
DG P4,4,8,160,480,3.990710e-01,0.0000,1.893961e-01,0.0000,10.546
DG P4,4,16,320,960,3.251973e-02,3.6173,9.280066e-03,4.3511,41.044
DG P4,4,32,640,1920,2.044331e-03,3.9916,6.351185e-04,3.8690,122.753
DG P4,4,64,1280,3840,1.070288e-04,4.2556,3.813259e-05,4.0579,246.530
DG P4,4,128,2560,7680,7.553898e-06,3.8246,4.509215e-06,3.0801,707.007
DG P5,5,8,192,576,1.476986e-01,0.0000,5.126928e-02,0.0000,15.844
DG P5,5,16,384,1152,1.248045e-02,3.5649,3.498491e-03,3.8733,57.298
DG P5,5,32,768,2304,5.484341e-04,4.5082,1.755273e-04,4.3170,139.770
DG P5,5,64,1536,4608,2.261875e-05,4.5997,6.724784e-06,4.7061,320.957
