NCOL,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
8,32,96,2.306396e+01,0.0000,1.271119e+01,0.0000,0.475
16,64,192,1.129079e+01,1.0305,7.421313e+00,0.7764,3.782
32,128,384,4.658786e+00,1.2771,3.200460e+00,1.2134,14.224
64,256,768,1.361628e+00,1.7746,9.368701e-01,1.7724,42.499
128,512,1536,3.589970e-01,1.9233,2.370445e-01,1.9827,55.744
256,1024,3072,9.254609e-02,1.9557,5.420315e-02,2.1287,103.149
512,2048,6144,2.104795e-02,2.1365,1.161519e-02,2.2224,176.821
1024,4096,12288,3.632720e-03,2.5346,2.429287e-03,2.2574,364.015
2048,8192,24576,7.707510e-04,2.2367,5.066877e-04,2.2614,787.767
4096,16384,49152,1.647588e-04,2.2259,1.044024e-04,2.2789,2245.027
8192,32768,98304,3.129631e-05,2.3963,1.941420e-05,2.4270,6771.772
