Method,POLYDEG,NELEM,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
DG P1,1,8,16,48,1.722010e-01,0.0000,2.106421e-02,0.0000,0.088
DG P1,1,16,32,96,3.703163e-02,2.2173,6.301413e-03,1.7410,0.153
DG P1,1,32,64,192,7.030177e-03,2.3971,1.459327e-03,2.1104,0.550
DG P1,1,64,128,384,1.281908e-03,2.4553,2.820757e-04,2.3711,1.504
DG P1,1,128,256,768,2.454051e-04,2.3851,5.463749e-05,2.3681,3.683
DG P1,1,256,512,1536,5.082172e-05,2.2716,1.142911e-05,2.2572,6.068
DG P1,1,512,1024,3072,1.129301e-05,2.1700,2.555386e-06,2.1611,23.381
DG P1,1,1024,2048,6144,2.637693e-06,2.0981,5.987009e-07,2.0936,42.288
DG P1,1,2048,4096,12288,6.347445e-07,2.0550,1.446639e-07,2.0491,90.724
DG P1,1,4096,8192,24576,1.548304e-07,2.0355,3.574666e-08,2.0168,220.819
DG P2,2,8,24,72,2.273406e-02,0.0000,4.622374e-03,0.0000,0.179
DG P2,2,16,48,144,2.209150e-03,3.3633,5.691906e-04,3.0217,0.478
DG P2,2,32,96,288,1.197873e-04,4.2049,3.379916e-05,4.0739,1.248
DG P2,2,64,192,576,5.407140e-06,4.4695,1.466365e-06,4.5267,3.067
DG P2,2,128,384,1152,2.479718e-07,4.4466,6.304801e-08,4.5396,7.258
DG P2,2,256,768,2304,9.954213e-09,4.6387,2.860239e-09,4.4622,11.870
DG P2,2,512,1536,4608,5.168709e-09,0.9455,6.146246e-10,2.2184,44.825
DG P3,3,8,32,96,4.932900e-03,0.0000,9.775910e-04,0.0000,0.317
DG P3,3,16,64,192,1.495425e-04,5.0438,4.061405e-05,4.5892,0.836
DG P3,3,32,128,384,3.077447e-06,5.6027,8.006798e-07,5.6646,1.575
DG P3,3,64,256,768,9.665339e-08,4.9928,2.649695e-08,4.9173,3.495
DG P3,3,128,512,1536,6.881322e-09,3.8121,2.127220e-09,3.6388,11.934
DG P3,3,256,1024,3072,5.369951e-09,0.3578,6.279292e-10,1.7603,32.355
DG P4,4,8,40,120,1.115695e-03,0.0000,2.425485e-04,0.0000,0.336
DG P4,4,16,80,240,9.986933e-06,6.8037,2.502279e-06,6.5989,0.891
DG P4,4,32,160,480,1.021440e-07,6.6114,2.631804e-08,6.5710,2.333
DG P4,4,64,320,960,5.276155e-09,4.2750,8.103291e-10,5.0214,5.852
DG P5,5,8,48,144,2.264217e-04,0.0000,5.221041e-05,0.0000,0.718
DG P5,5,16,96,288,4.980490e-07,8.8285,1.308380e-07,8.6404,1.983
DG P5,5,32,192,576,7.424919e-09,6.0678,1.663418e-09,6.2975,5.213
