NCOL,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
8,8,24,8.447559e-01,0.0000,8.978755e-02,0.0000,0.019
16,16,48,2.503917e-01,1.7543,2.862704e-02,1.6491,0.042
32,32,96,6.589234e-02,1.9260,8.410753e-03,1.7671,0.102
64,64,192,1.610088e-02,2.0330,2.206883e-03,1.9302,0.245
128,128,384,3.851700e-03,2.0636,5.434029e-04,2.0219,0.660
256,256,768,9.280156e-04,2.0533,1.319284e-04,2.0423,1.578
512,512,1536,2.170935e-04,2.0958,3.088941e-05,2.0946,4.038
1024,1024,3072,4.919282e-05,2.1418,6.985703e-06,2.1446,9.322
2048,2048,6144,1.090327e-05,2.1737,1.541238e-06,2.1803,23.794
4096,4096,12288,2.426125e-06,2.1680,3.413956e-07,2.1746,87.466
8192,8192,24576,5.475408e-07,2.1476,7.666787e-08,2.1548,306.943
16384,16384,49152,1.185963e-07,2.2069,1.658836e-08,2.2085,1071.087
32768,32768,98304,2.101892e-08,2.4963,2.991410e-09,2.4713,3855.159
