Ne,DoF,L2error,L2EOC,Linferror,LinfEOC,Simtime
2,4,2.083642e-02,0.0000,6.850625e-02,0.0000,0.0024
4,8,9.566296e-03,1.1231,3.707756e-02,0.8857,0.0052
8,16,2.805050e-03,1.7699,1.191760e-02,1.6375,0.0114
16,32,6.735378e-04,2.0582,2.963976e-03,2.0075,0.0240
32,64,1.606359e-04,2.0680,7.120813e-04,2.0574,0.0492
64,128,3.896143e-05,2.0437,1.733198e-04,2.0386,0.1021
128,256,9.578028e-06,2.0242,4.270705e-05,2.0209,0.2164
256,512,2.374060e-06,2.0124,1.059996e-05,2.0104,0.4562
512,1024,5.910331e-07,2.0060,2.640785e-06,2.0050,0.9874
2,6,1.302442e-02,0.0000,4.304577e-02,0.0000,0.0044
4,12,2.247680e-03,2.5347,8.784356e-03,2.2929,0.0096
8,24,1.304832e-04,4.1065,5.903768e-04,3.8952,0.0216
16,48,4.599372e-06,4.8263,2.133825e-05,4.7901,0.0436
32,96,1.428093e-07,5.0093,6.574420e-07,5.0204,0.0882
64,192,4.096939e-09,5.1234,1.875655e-08,5.1314,0.1865
128,384,1.218290e-10,5.0716,5.687030e-10,5.0436,0.4065
256,768,2.859969e-11,2.0908,1.222000e-10,2.2184,0.8638
512,1536,3.310544e-11,-0.2111,2.025936e-10,-0.7293,1.8418
2,8,6.411567e-03,0.0000,2.246504e-02,0.0000,0.0061
4,16,2.387533e-04,4.7471,1.012914e-03,4.4711,0.0141
8,32,3.260165e-06,6.1944,1.439529e-05,6.1368,0.0307
16,64,4.648239e-08,6.1321,1.978786e-07,6.1848,0.0685
32,128,7.187686e-10,6.0150,2.887728e-09,6.0985,0.1464
64,256,4.514744e-11,3.9928,2.375324e-10,3.6037,0.3145
128,512,1.644243e-11,1.4572,7.022836e-11,1.7580,0.6531
256,1024,1.397096e-11,0.2350,6.168444e-11,0.1871,1.3960
512,2048,2.865011e-11,-1.0361,1.557581e-10,-1.3363,2.9613
2,10,2.561198e-03,0.0000,9.311896e-03,0.0000,0.0088
4,20,1.918408e-05,7.0608,8.408067e-05,6.7912,0.0232
8,40,1.014142e-07,7.5635,5.580298e-07,7.2353,0.0482
16,80,3.566798e-10,8.1514,1.659272e-09,8.3936,0.1055
32,160,2.571494e-11,3.7940,1.126562e-10,3.8806,0.2202
64,320,4.053346e-11,-0.6565,2.254118e-10,-1.0006,0.4768
128,640,3.290978e-11,0.3006,1.286870e-10,0.8087,1.0217
256,1280,3.350003e-11,-0.0256,2.077963e-10,-0.6913,2.1695
512,2560,3.976076e-11,-0.2472,2.154550e-10,-0.0522,4.5332
2,12,8.929755e-04,0.0000,4.278312e-03,0.0000,0.0117
4,24,2.711016e-06,8.3636,1.447323e-05,8.2075,0.0317
8,48,3.960564e-09,9.4189,4.167034e-08,8.4402,0.0668
16,96,2.583380e-11,7.2603,1.157384e-10,8.4920,0.1497
32,192,1.507906e-11,0.7767,6.579473e-11,0.8148,0.3203
64,384,3.817417e-11,-1.3401,1.871749e-10,-1.5083,0.6995
128,768,3.200956e-11,0.2541,1.453393e-10,0.3650,1.4476
256,1536,3.775706e-11,-0.2382,1.840798e-10,-0.3409,3.1582
512,3072,1.882067e-11,1.0044,7.347528e-11,1.3250,6.5180
