Ne,DoF,L2error,L2EOC,Linferror,LinfEOC,Simtime
4,4,2.303820e-02,0.0000,7.584561e-02,0.0000,0.0090
8,8,1.129171e-02,1.0288,4.049668e-02,0.9053,0.0136
16,16,3.184587e-03,1.8261,1.303349e-02,1.6356,0.0192
32,32,6.339794e-04,2.3286,2.984303e-03,2.1268,0.0303
64,64,1.202187e-04,2.3988,5.818571e-04,2.3587,0.0555
128,128,2.239884e-05,2.4242,9.803602e-05,2.5693,0.1134
256,256,4.489986e-06,2.3186,1.653087e-05,2.5681,0.3378
512,512,9.246598e-07,2.2797,3.408003e-06,2.2782,0.5593
1024,1024,1.904357e-07,2.2796,7.022071e-07,2.2790,1.1080
2048,2048,4.099113e-08,2.2159,1.523623e-07,2.2044,1.9855
4096,4096,9.192818e-09,2.1567,3.499402e-08,2.1223,4.0358
8192,8192,2.149383e-09,2.0966,8.108187e-09,2.1097,8.1737
16384,16384,5.233354e-10,2.0381,1.957367e-09,2.0505,16.9353
32768,32768,1.261103e-10,2.0530,5.044603e-10,1.9561,34.9471
65536,65536,3.084741e-11,2.0315,1.718080e-10,1.5539,79.9391
