Ne,DoF,L2error,L2EOC,Linferror,LinfEOC,Simtime
2,4,9.583947e-03,0.0000,2.424289e-02,0.0000,0.0019
4,8,2.924410e-03,1.7125,7.963909e-03,1.6060,0.0036
8,16,6.492619e-04,2.1713,1.885820e-03,2.0783,0.0079
16,32,1.440239e-04,2.1725,4.312196e-04,2.1287,0.0211
32,64,3.344802e-05,2.1063,1.012605e-04,2.0904,0.0387
64,128,8.001292e-06,2.0636,2.435658e-05,2.0557,0.0765
128,256,1.951109e-06,2.0359,5.957486e-06,2.0315,0.1535
256,512,4.810437e-07,2.0201,1.472169e-06,2.0168,0.3275
2,6,4.515550e-03,0.0000,1.477838e-02,0.0000,0.0030
4,12,3.906540e-04,3.5309,1.317271e-03,3.4879,0.0071
8,24,1.781728e-05,4.4545,6.370025e-05,4.3701,0.0144
16,48,6.855079e-07,4.7000,2.222598e-06,4.8410,0.0288
32,96,2.180483e-08,4.9745,6.735621e-08,5.0443,0.0585
64,192,4.721020e-10,5.5294,1.509076e-09,5.4801,0.1286
128,384,1.065442e-09,-1.1743,3.397778e-09,-1.1709,0.2670
256,768,7.747803e-10,0.4596,1.969509e-09,0.7868,0.5671
2,8,1.930072e-03,0.0000,9.350712e-03,0.0000,0.0042
4,16,2.885213e-05,6.0638,1.028656e-04,6.5062,0.0100
8,32,3.455856e-07,6.3835,1.035779e-06,6.6339,0.0217
16,64,5.799145e-09,5.8971,1.916377e-08,5.7562,0.0437
32,128,1.023123e-09,2.5029,3.301810e-09,2.5371,0.0923
64,256,1.067714e-09,-0.0615,3.394178e-09,-0.0398,0.1966
128,512,1.085326e-09,-0.0236,3.448871e-09,-0.0231,0.4284
256,1024,6.559309e-10,0.7265,1.633265e-09,1.0784,0.9075
2,10,8.187284e-04,0.0000,5.119430e-03,0.0000,0.0063
4,20,2.427831e-06,8.3976,1.306970e-05,8.6136,0.0146
8,40,1.345865e-08,7.4950,6.089856e-08,7.7456,0.0315
16,80,9.466819e-10,3.8295,3.005263e-09,4.3408,0.0674
32,160,1.072000e-09,-0.1794,3.407697e-09,-0.1813,0.1439
64,320,8.334489e-10,0.3631,2.650626e-09,0.3625,0.2908
128,640,1.083275e-09,-0.3782,3.442762e-09,-0.3772,0.6179
256,1280,1.075149e-09,0.0109,3.426613e-09,0.0068,1.2909
2,12,3.486147e-04,0.0000,2.424076e-03,0.0000,0.0079
4,24,1.324553e-06,8.0400,1.193190e-05,7.6665,0.0202
8,48,2.734394e-09,8.9201,3.876648e-08,8.2658,0.0542
16,96,7.356387e-10,1.8942,1.644857e-09,4.5588,0.0933
32,192,1.037990e-09,-0.4967,3.310971e-09,-1.0093,0.1931
64,384,7.232809e-10,0.5212,2.233369e-09,0.5680,0.4210
128,768,7.317487e-10,-0.0168,2.250410e-09,-0.0110,0.8641
256,1536,8.333728e-10,-0.1876,2.336382e-09,-0.0541,1.8825
