Ne,DoF,L2error,L2EOC,Linferror,LinfEOC,Simtime
4,4,1.179814e-02,0.0000,2.526464e-02,0.0000,0.0085
8,8,4.482128e-03,1.3963,1.049062e-02,1.2680,0.0113
16,16,1.101053e-03,2.0253,2.866667e-03,1.8717,0.0136
32,32,2.172495e-04,2.3415,6.349736e-04,2.1746,0.0219
64,64,4.147068e-05,2.3892,1.245119e-04,2.3504,0.0423
128,128,7.813400e-06,2.4081,2.158039e-05,2.5285,0.0770
256,256,1.571381e-06,2.3139,4.169021e-06,2.3719,0.2085
512,512,3.242434e-07,2.2769,8.728469e-07,2.2559,0.3359
1024,1024,6.667103e-08,2.2819,1.842356e-07,2.2442,0.7213
2048,2048,1.403988e-08,2.2475,4.065482e-08,2.1801,1.9064
4096,4096,3.119141e-09,2.1703,9.478858e-09,2.1006,6.1614
8192,8192,9.931343e-10,1.6511,3.025652e-09,1.6475,21.1733
16384,16384,7.159390e-10,0.4722,2.003104e-09,0.5950,79.3069
32768,32768,7.115696e-10,0.0088,1.608305e-09,0.3167,274.4854
65536,65536,7.571550e-10,-0.0896,1.999480e-09,-0.3141,882.2758
