P,Nelem,DoF,CGL_Linf,CGL_Linf_EOC,CGL_Time,LGL_Linf,LGL_Linf_EOC,LGL_Time
1,8,64,7.0842e-01,0.38,2.14,7.0842e-01,0.38,2.15
1,16,128,4.6601e-01,0.60,12.22,4.6601e-01,0.60,12.15
1,32,256,2.2832e-01,1.03,66.74,2.2832e-01,1.03,65.68
1,64,512,6.9541e-02,1.72,401.12,6.9541e-02,1.72,398.39
1,128,1024,3.3880e-02,1.04,2546.09,3.3880e-02,1.04,2534.53
2,8,96,4.3038e-01,0.69,6.89,4.3038e-01,0.69,6.61
2,16,192,1.9367e-01,1.15,49.11,1.9367e-01,1.15,50.02
2,32,384,6.5230e-02,1.57,322.61,6.5230e-02,1.57,329.58
2,64,768,2.3384e-02,1.48,1925.83,2.3384e-02,1.48,1948.99
2,128,1536,7.9517e-03,1.56,10737.41,7.9517e-03,1.56,10755.13
3,8,128,2.1438e-01,1.25,19.26,2.1438e-01,1.25,19.27
3,16,256,7.5589e-02,1.50,129.97,7.5589e-02,1.50,131.98
3,32,512,3.0902e-02,1.29,883.70,3.0902e-02,1.29,934.42
3,64,1024,8.3598e-03,1.89,4822.39,8.3598e-03,1.89,4888.30
4,8,160,1.2043e-01,1.23,50.00,1.2043e-01,1.23,44.14
4,16,320,4.8445e-02,1.31,285.83,4.8445e-02,1.31,292.34
4,32,640,1.2858e-02,1.91,1761.91,1.2858e-02,1.91,1761.20
5,8,192,6.5171e-02,1.60,81.64,6.5171e-02,1.60,86.06
5,16,384,1.7760e-02,1.88,559.90,1.7760e-02,1.88,550.33
