P,nElem,DoF,CGL_Linf,CGL_Linf_EOC,CGL_Time,LGL_Linf,LGL_Linf_EOC,LGL_Time
1,1,20,5.050734e-01,0.00,0.107916,5.050734e-01,0.00,0.107228
1,2,36,5.075429e-01,-0.01,0.244685,5.075429e-01,-0.01,0.244663
1,4,68,5.088523e-01,-0.00,0.644760,5.088523e-01,-0.00,0.631785
1,8,132,5.092432e-01,-0.00,1.552453,5.092432e-01,-0.00,1.546698
1,16,260,5.093467e-01,-0.00,4.348612,5.093467e-01,-0.00,4.370122
1,32,516,5.093732e-01,-0.00,13.182473,5.093732e-01,-0.00,13.090690
1,64,1028,5.093799e-01,-0.00,38.427942,5.093799e-01,-0.00,38.216453
1,128,2052,5.093815e-01,-0.00,105.974625,5.093815e-01,-0.00,104.483438
1,256,4100,5.093820e-01,-0.00,286.561442,5.093820e-01,-0.00,285.811749
1,512,8196,5.093821e-01,-0.00,707.415747,5.093821e-01,-0.00,711.191812
2,1,28,5.089709e-01,0.00,0.176034,5.089709e-01,0.00,0.172809
2,2,52,5.093513e-01,-0.00,0.462643,5.093513e-01,-0.00,0.462230
2,4,100,5.093801e-01,-0.00,1.222449,5.093801e-01,-0.00,1.229706
2,8,196,5.093820e-01,-0.00,3.675615,5.093820e-01,-0.00,3.541115
2,16,388,5.093821e-01,-0.00,11.294222,5.093821e-01,-0.00,11.696246
2,32,772,5.093821e-01,-0.00,34.322794,5.093821e-01,-0.00,33.340895
2,64,1540,5.093821e-01,0.00,93.942692,5.093821e-01,0.00,92.066211
2,128,3076,5.093821e-01,-0.00,255.010815,5.093821e-01,-0.00,259.860800
2,256,6148,5.093823e-01,-0.00,601.699749,5.093821e-01,0.00,640.962479
3,1,36,5.093969e-01,0.00,0.266010,5.093785e-01,0.00,0.261681
3,2,68,5.093828e-01,0.00,0.802534,5.093821e-01,-0.00,0.779304
3,4,132,5.093821e-01,0.00,2.331172,5.093821e-01,-0.00,2.193212
3,8,260,5.093821e-01,-0.00,7.473314,5.093821e-01,-0.00,7.384365
3,16,516,5.093821e-01,-0.00,22.526070,5.093821e-01,-0.00,22.531348
3,32,1028,5.093821e-01,-0.00,64.081226,5.093821e-01,0.00,62.921424
3,64,2052,5.093821e-01,0.00,181.974236,5.093821e-01,-0.00,182.455079
4,1,44,5.093817e-01,0.00,0.437277,5.093822e-01,0.00,0.444184
4,2,84,5.093820e-01,-0.00,1.179546,5.093821e-01,0.00,1.228348
4,4,164,5.093821e-01,-0.00,3.146187,5.093821e-01,0.00,3.234989
4,8,324,5.093821e-01,0.00,11.181944,5.093821e-01,-0.00,11.436037
4,16,644,5.093821e-01,-0.00,35.169653,5.093821e-01,0.00,34.032162
4,32,1284,5.093821e-01,-0.00,96.912544,5.093821e-01,-0.00,99.129353
5,1,52,5.093819e-01,0.00,0.593842,5.093821e-01,0.00,0.596091
5,2,100,5.093821e-01,-0.00,1.561215,5.093821e-01,0.00,1.538771
5,4,196,5.093821e-01,-0.00,5.043038,5.093821e-01,0.00,5.072808
5,8,388,5.093821e-01,0.00,17.757044,5.093821e-01,-0.00,17.985550
5,16,772,5.093821e-01,-0.00,52.428075,5.093821e-01,0.00,52.758540
