P,nCells,DoF,CGL_Linf,CGL_Linf_EOC,CGL_Time,LGL_Linf,LGL_Linf_EOC,LGL_Time
1,2,4,5.694191e-01,0.14,0.001159,5.694191e-01,0.14,0.001159
1,4,8,5.258808e-01,0.11,0.002549,5.258808e-01,0.11,0.002435
1,8,16,4.813498e-01,0.13,0.008669,4.813498e-01,0.13,0.010527
1,16,32,4.264792e-01,0.17,0.035855,4.264792e-01,0.17,0.035096
1,32,64,3.585524e-01,0.25,0.102720,3.585524e-01,0.25,0.110767
1,64,128,2.665148e-01,0.43,0.393096,2.665148e-01,0.43,0.430347
1,128,256,1.688521e-01,0.66,1.435941,1.688521e-01,0.66,1.437396
1,256,512,7.573544e-02,1.16,6.882384,7.573544e-02,1.16,7.066573
1,512,1024,2.128655e-02,1.83,35.166316,2.128655e-02,1.83,36.507114
1,1024,2048,3.707896e-03,2.52,245.675712,3.707896e-03,2.52,245.072522
2,2,6,5.364673e-01,0.11,0.002047,5.364673e-01,0.11,0.001998
2,4,12,4.891001e-01,0.13,0.006151,4.891001e-01,0.13,0.007632
2,8,24,4.261674e-01,0.20,0.016242,4.261674e-01,0.20,0.015112
2,16,48,3.470327e-01,0.30,0.059730,3.470327e-01,0.30,0.063261
2,32,96,2.413196e-01,0.52,0.246094,2.413196e-01,0.52,0.259439
2,64,192,1.209258e-01,1.00,1.022088,1.209258e-01,1.00,0.996820
2,128,384,3.539513e-02,1.77,4.740062,3.539513e-02,1.77,4.430852
2,256,768,3.398167e-03,3.38,21.660542,3.398167e-03,3.38,21.294091
2,512,1536,1.375319e-04,4.63,100.754295,1.375338e-04,4.63,101.404638
3,2,8,5.111057e-01,0.11,0.003133,5.111057e-01,0.11,0.002356
3,4,16,4.549781e-01,0.17,0.008132,4.549781e-01,0.17,0.023709
3,8,32,3.787383e-01,0.26,0.042342,3.787383e-01,0.26,0.027582
3,16,64,2.729774e-01,0.47,0.087704,2.729774e-01,0.47,0.101265
3,32,128,1.508464e-01,0.86,0.396454,1.508464e-01,0.86,0.465733
3,64,256,4.723858e-02,1.68,1.837466,4.723858e-02,1.68,1.990817
3,128,512,4.271047e-03,3.47,9.783478,4.271051e-03,3.47,9.176467
3,256,1024,8.068848e-05,5.73,48.541001,8.068246e-05,5.73,49.247674
3,512,2048,1.406534e-06,5.84,345.468672,1.403311e-06,5.85,345.466638
4,2,10,4.880531e-01,0.12,0.003493,4.880531e-01,0.12,0.003546
4,4,20,4.220204e-01,0.21,0.012141,4.220204e-01,0.21,0.020987
4,8,40,3.340315e-01,0.34,0.039428,3.340315e-01,0.34,0.048150
4,16,80,2.169516e-01,0.62,0.172614,2.169516e-01,0.62,0.191039
4,32,160,9.171555e-02,1.24,0.779230,9.171555e-02,1.24,0.672373
4,64,320,1.420959e-02,2.69,3.885631,1.420959e-02,2.69,3.666535
4,128,640,3.623306e-04,5.29,16.296513,3.623295e-04,5.29,16.568943
4,256,1280,2.090902e-06,7.44,90.280340,2.088758e-06,7.44,97.056835
5,2,12,4.664497e-01,0.14,0.006310,4.664497e-01,0.14,0.008274
5,4,24,3.956359e-01,0.24,0.022755,3.956359e-01,0.24,0.020372
5,8,48,2.909978e-01,0.44,0.053843,2.909978e-01,0.44,0.053698
5,16,96,1.663630e-01,0.81,0.238626,1.663630e-01,0.81,0.271479
5,32,192,5.247527e-02,1.66,1.125405,5.247527e-02,1.66,1.152840
5,64,384,4.039224e-03,3.70,6.437400,4.039225e-03,3.70,6.559125
5,128,768,1.783875e-05,7.82,36.458523,1.784217e-05,7.82,36.096123
5,256,1536,1.166427e-06,3.93,228.526270,1.182588e-06,3.92,252.877330
6,2,14,4.458999e-01,0.16,0.008672,4.458999e-01,0.16,0.008545
6,4,28,3.701909e-01,0.27,0.021037,3.701909e-01,0.27,0.028741
6,8,56,2.576362e-01,0.52,0.071863,2.576362e-01,0.52,0.069354
6,16,112,1.248150e-01,1.05,0.355782,1.248150e-01,1.05,0.344656
6,32,224,2.679353e-02,2.22,1.753525,2.679353e-02,2.22,1.780035
6,64,448,8.682092e-04,4.95,8.623100,8.682092e-04,4.95,9.109375
6,128,896,1.827125e-06,8.89,52.777314,1.824002e-06,8.89,52.238939
