P,Nelem,DoF,CGL_Linf,CGL_Linf_EOC,CGL_Time,LGL_Linf,LGL_Linf_EOC,LGL_Time
1,2,4,1.188580e-01,0.47,0.002773,1.188580e-01,0.47,0.002789
1,4,8,7.412606e-02,0.68,0.006757,7.412606e-02,0.68,0.006825
1,8,16,2.724054e-02,1.44,0.016082,2.724054e-02,1.44,0.016540
1,16,32,7.020890e-03,1.96,0.041436,7.020890e-03,1.96,0.041568
1,32,64,1.678728e-03,2.06,0.099203,1.678728e-03,2.06,0.099596
1,64,128,4.060774e-04,2.05,0.210747,4.060774e-04,2.05,0.215171
1,128,256,9.969971e-05,2.03,0.459403,9.969971e-05,2.03,0.457456
1,256,512,2.470140e-05,2.01,0.946151,2.470140e-05,2.01,0.943104
1,512,1024,6.148848e-06,2.01,1.984263,6.148848e-06,2.01,1.960726
2,2,6,8.687294e-02,0.85,0.004911,8.687294e-02,0.85,0.004897
2,4,12,2.445763e-02,1.83,0.013015,2.445763e-02,1.83,0.013185
2,8,24,2.278744e-03,3.42,0.032074,2.278744e-03,3.42,0.032675
2,16,48,9.408802e-05,4.60,0.079646,9.408802e-05,4.60,0.080155
2,32,96,3.032150e-06,4.96,0.178760,3.032150e-06,4.96,0.180338
2,64,192,8.887065e-08,5.09,0.367032,8.887066e-08,5.09,0.374180
2,128,384,2.570349e-09,5.11,0.801820,2.570364e-09,5.11,0.793319
2,256,768,1.455421e-10,4.14,1.633104,1.455445e-10,4.14,1.636387
3,2,8,5.663672e-02,1.65,0.006984,5.663672e-02,1.65,0.007139
3,4,16,4.948244e-03,3.52,0.021137,4.948244e-03,3.52,0.021326
3,8,32,8.022978e-05,5.95,0.050519,8.022978e-05,5.95,0.050490
3,16,64,1.183178e-06,6.08,0.128862,1.183178e-06,6.08,0.126988
3,32,128,1.801447e-08,6.04,0.280249,1.801465e-08,6.04,0.277757
3,64,256,3.683067e-10,5.61,0.583783,3.679389e-10,5.61,0.581873
3,128,512,9.253556e-11,1.99,1.222587,9.314122e-11,1.98,1.237645
4,2,10,2.990338e-02,2.33,0.010626,2.990338e-02,2.33,0.010775
4,4,20,5.885665e-04,5.67,0.032957,5.885665e-04,5.67,0.032915
4,8,40,3.610564e-06,7.35,0.084204,3.610564e-06,7.35,0.082993
4,16,80,1.462037e-08,7.95,0.196562,1.460037e-08,7.95,0.191815
4,32,160,8.650403e-11,7.40,0.421742,8.707410e-11,7.39,0.418676
4,64,320,1.335788e-10,-0.63,0.889975,1.325741e-10,-0.61,0.889753
5,2,12,1.328285e-02,3.41,0.014809,1.328285e-02,3.41,0.014996
5,4,24,8.664162e-05,7.26,0.045084,8.664162e-05,7.26,0.047103
5,8,48,1.269210e-07,9.41,0.110473,1.269085e-07,9.42,0.111947
5,16,96,2.287396e-10,9.12,0.272475,2.273461e-10,9.12,0.268726
