Nd,N_e^z,DoF,L_inf error,L_inf EOC,L1 error,L1 EOC,L2 error,L2 EOC,t_CGL [s],t_LGL [s],t_CGL/t_LGL,Min value

1,1,20,3.143890e+01,0.0000,4.671966e+03,0.0000,2.410522e+02,0.0000,0.003622,0.003577,1.0127,-3.748434e-03
1,2,36,2.842902e+01,0.1452,3.136303e+03,0.5750,1.845739e+02,0.3851,0.012456,0.012483,0.9979,-9.104924e-03
1,4,68,2.622011e+01,0.1167,1.904304e+03,0.7198,1.378877e+02,0.4207,0.060361,0.059969,1.0065,-1.485948e-04
1,8,132,2.406713e+01,0.1236,1.203254e+03,0.6623,1.038446e+02,0.4091,0.288474,0.286865,1.0056,-1.286659e-05
1,16,260,2.132366e+01,0.1746,6.988699e+02,0.7838,7.558433e+01,0.4583,1.352380,1.351833,1.0004,-1.308215e-08
1,32,516,1.748443e+01,0.2864,3.895998e+02,0.8430,5.250948e+01,0.5255,6.441518,6.451029,0.9985,-1.905091e-15
1,64,1028,1.352070e+01,0.3709,2.016150e+02,0.9504,3.345635e+01,0.6503,30.004800,30.201828,0.9935,-6.256975e-29
1,128,2052,8.240743e+00,0.7143,9.109523e+01,1.1462,1.810563e+01,0.8858,151.174984,150.605833,1.0038,-8.292712e-56
1,256,4100,3.578827e+00,1.2033,3.102042e+01,1.5542,7.261518e+00,1.3181,768.270325,770.778405,0.9967,-3.425429e-111
1,512,8196,1.069343e+00,1.7428,6.962143e+00,2.1556,1.858674e+00,1.9660,3806.774162,3826.810505,0.9948,-4.864726e-56

2,1,28,2.899347e+01,0.0000,3.534544e+03,0.0000,1.960588e+02,0.0000,0.008865,0.009097,0.9745,-3.058960e-02
2,2,52,2.675128e+01,0.1161,2.114561e+03,0.7412,1.425416e+02,0.4599,0.037718,0.037419,1.0080,-7.732384e-04
2,4,100,2.445515e+01,0.1295,1.329898e+03,0.6690,1.053403e+02,0.4363,0.267080,0.266403,1.0025,-1.179647e-03
2,8,196,2.130805e+01,0.1987,7.424056e+02,0.8410,7.403626e+01,0.5088,1.345686,1.328183,1.0132,-1.142474e-05
2,16,388,1.706281e+01,0.3205,3.916093e+02,0.9228,4.906396e+01,0.5936,5.993464,6.006128,0.9979,-3.848258e-09
2,32,772,1.210349e+01,0.4954,1.861862e+02,1.0727,2.876448e+01,0.7704,26.751541,27.014474,0.9903,-4.129478e-16
2,64,1540,5.640361e+00,1.1016,6.904644e+01,1.4311,1.295362e+01,1.1509,123.698827,123.338300,1.0029,-3.396319e-30
2,128,3076,1.778687e+00,1.6650,1.449338e+01,2.2522,3.269864e+00,1.9861,607.717782,616.253267,0.9861,-1.540863e-58
2,256,6148,1.743090e-01,3.3511,1.016447e+00,3.8338,2.945176e-01,3.4728,3508.038240,3514.495565,0.9982,-1.775493e-59

3,1,36,2.732937e+01,0.0000,2.643089e+03,0.0000,1.624478e+02,0.0000,0.018637,0.018237,1.0220,-2.257891e-02
3,2,68,2.556357e+01,0.0964,1.792312e+03,0.5604,1.234864e+02,0.3956,0.101981,0.104672,0.9743,-4.114874e-03
3,4,132,2.274820e+01,0.1683,1.010861e+03,0.8262,8.660636e+01,0.5118,1.033584,1.013583,1.0197,-8.492201e-03
3,8,260,1.850967e+01,0.2975,5.416540e+02,0.9001,5.791226e+01,0.5806,4.609054,4.599293,1.0021,-6.360789e-06
3,16,516,1.381055e+01,0.4225,2.621440e+02,1.0470,3.492942e+01,0.7294,21.997603,19.254798,1.1424,-1.047225e-08
3,32,1028,7.208042e+00,0.9381,1.021982e+02,1.3590,1.672534e+01,1.0624,83.266975,82.136832,1.0138,-4.004193e-16
3,64,2052,2.357303e+00,1.6125,2.327828e+01,2.1343,4.602375e+00,1.8616,366.856326,351.427538,1.0439,-1.833416e-30

4,1,44,2.652283e+01,0.0000,2.255632e+03,0.0000,1.430722e+02,0.0000,0.035217,0.035435,0.9938,-1.044327e-02
4,2,84,2.439803e+01,0.1205,1.504336e+03,0.5844,1.081189e+02,0.4041,0.220035,0.224097,0.9819,-6.238904e-03
4,4,164,2.110041e+01,0.2095,8.364296e+02,0.8468,7.394215e+01,0.5481,2.110877,1.872762,1.1271,-5.030695e-03
4,8,324,1.654966e+01,0.3505,4.253166e+02,0.9757,4.725052e+01,0.6461,11.718562,14.004989,0.8367,-4.244877e-05
4,16,644,1.074966e+01,0.6225,1.880151e+02,1.1777,2.580228e+01,0.8728,48.398648,48.103666,1.0061,-5.960417e-09
4,32,1284,4.373320e+00,1.2975,5.773142e+01,1.7034,9.724578e+00,1.4078,199.283743,195.099152,1.0214,-1.415351e-16

5,1,52,2.733040e+01,0.0000,2.117924e+03,0.0000,1.315709e+02,0.0000,0.064646,0.081473,0.7935,-2.286698e-02
5,2,100,2.457366e+01,0.1534,1.273101e+03,0.7343,9.565580e+01,0.4599,0.479663,0.470771,1.0189,-1.746231e-02
5,16,772,6.709743e+00,0.6243,1.349627e+02,1.0792,1.802342e+01,0.8027,100.522127,100.009144,1.0051,-6.790700e-09
