Nd,N_e^z,DoF,L_inf error,L_inf EOC,L1 error,L1 EOC,L2 error,L2 EOC,t_CGL [s],t_LGL [s],t_CGL/t_LGL,Min value

1,1,5,6.289960e-01,0.0000,2.046096e+02,0.0000,8.007860e+00,0.0000,0.001864,0.001861,1.0016,-2.108528e-01
1,2,9,5.693821e-01,0.1437,1.386212e+02,0.5617,6.245330e+00,0.3586,0.004908,0.004877,1.0063,-1.463007e-01
1,4,17,5.258724e-01,0.1147,8.672913e+01,0.6766,4.725383e+00,0.4023,0.015207,0.015062,1.0096,-1.137093e-01
1,8,33,4.813496e-01,0.1276,5.213941e+01,0.7341,3.534476e+00,0.4189,0.051755,0.051942,0.9964,-9.626671e-02
1,16,65,4.264801e-01,0.1746,3.026081e+01,0.7849,2.573855e+00,0.4576,0.169687,0.171359,0.9902,-8.434077e-02
1,32,129,3.585538e-01,0.2503,1.683197e+01,0.8462,1.788067e+00,0.5255,0.588120,0.591314,0.9946,-7.476731e-02
1,64,257,2.665164e-01,0.4280,8.733819e+00,0.9465,1.139304e+00,0.6502,2.092846,2.082447,1.0050,-6.480142e-02
1,128,513,1.688537e-01,0.6585,3.957425e+00,1.1421,6.166206e-01,0.8857,8.186441,8.187532,0.9999,-4.981167e-02
1,256,1025,7.573676e-02,1.1567,1.349759e+00,1.5519,2.473622e-01,1.3178,29.722116,29.552316,1.0057,-2.555997e-02
1,512,2049,2.128770e-02,1.8310,3.029500e-01,2.1556,6.336790e-02,1.9648,115.306475,114.454742,1.0074,-4.090577e-03

2,1,7,5.795050e-01,0.0000,1.566492e+02,0.0000,6.623497e+00,0.0000,0.003556,0.003628,0.9803,-2.096938e-01
2,2,13,5.365042e-01,0.1112,9.775998e+01,0.6802,4.914303e+00,0.4306,0.010808,0.010617,1.0179,-1.638139e-01
2,4,25,4.891034e-01,0.1335,5.771674e+01,0.7603,3.581064e+00,0.4566,0.043833,0.043397,1.0100,-1.370922e-01
2,8,49,4.261679e-01,0.1987,3.218536e+01,0.8426,2.521495e+00,0.5061,0.182065,0.211869,0.8593,-1.185348e-01
2,16,97,3.470335e-01,0.2963,1.692143e+01,0.9276,1.670744e+00,0.5938,0.592214,0.615731,0.9618,-1.037038e-01
2,32,193,2.413206e-01,0.5241,8.028361e+00,1.0757,9.795360e-01,0.7703,2.024439,2.023794,1.0003,-8.655480e-02
2,64,385,1.209268e-01,0.9968,2.992181e+00,1.4239,4.411762e-01,1.1507,7.931668,7.830718,1.0129,-5.943265e-02
2,128,769,3.539611e-02,1.7725,6.270710e-01,2.2545,1.114311e-01,1.9852,24.847399,24.763223,1.0034,-1.692352e-02
2,256,1537,3.398715e-03,3.3805,4.690780e-02,3.7407,1.007949e-02,3.4667,99.417587,104.506882,0.9513,-7.606103e-06
2,512,3073,1.380548e-04,4.6217,1.630663e-03,4.8463,3.871201e-04,4.7025,442.327681,438.519880,1.0087,-8.229907e-11

3,1,9,5.502749e-01,0.0000,1.244848e+02,0.0000,5.600699e+00,0.0000,0.005757,0.006134,0.9386,-1.930324e-01
3,2,17,5.110727e-01,0.1066,7.817037e+01,0.6713,4.177409e+00,0.4230,0.021836,0.022008,0.9922,-1.681840e-01
3,4,33,4.549820e-01,0.1677,4.432333e+01,0.8186,2.945736e+00,0.5040,0.107416,0.106302,1.0105,-1.420651e-01
3,8,65,3.787392e-01,0.2646,2.345313e+01,0.9183,1.971832e+00,0.5791,0.457199,0.446370,1.0243,-1.232024e-01
3,16,129,2.729784e-01,0.4724,1.131444e+01,1.0516,1.189453e+00,0.7292,1.475330,1.498767,0.9844,-1.051217e-01
3,32,257,1.508474e-01,0.8557,4.444728e+00,1.3480,5.696042e-01,1.0623,5.190081,5.260654,0.9866,-7.751810e-02
3,64,513,4.723956e-02,1.6750,1.000089e+00,2.1520,1.567955e-01,1.8611,18.646880,18.749987,0.9945,-2.834973e-02
3,128,1025,4.271610e-03,3.4671,6.330061e-02,3.9818,1.239895e-02,3.6606,68.173214,69.432102,0.9819,-4.208235e-04

4,1,11,5.309223e-01,0.0000,1.054430e+02,0.0000,4.955963e+00,0.0000,0.008586,0.008690,0.9881,-1.852546e-01
4,2,21,4.880673e-01,0.1214,6.606554e+01,0.6745,3.671620e+00,0.4327,0.041600,0.041618,0.9996,-1.648857e-01
