Method,Ne,Np,DoF,L2error,L2EOC,Linferror,LinfEOC,Simtime
DG P1,4,1,160,1.083880e+00,0.0000,5.088523e-01,0.0000,0.654
DG P1,8,2,576,5.242981e-01,1.0477,2.143339e-01,1.2474,4.962
DG P1,16,4,2176,1.635917e-01,1.6803,7.551722e-02,1.5050,38.229
DG P1,32,8,8448,5.460208e-02,1.5831,3.103468e-02,1.2829,250.441
DG P1,64,16,33280,1.748521e-02,1.6428,8.352223e-03,1.8936,1278.357
DG P2,4,1,176,1.084956e+00,0.0000,5.093801e-01,0.0000,1.293
DG P2,8,2,608,5.248142e-01,1.0478,2.143983e-01,1.2484,11.321
DG P2,16,4,2240,1.637686e-01,1.6801,7.559026e-02,1.5040,84.946
DG P2,32,8,8576,5.461896e-02,1.5842,3.103782e-02,1.2842,551.285
DG P2,64,16,33536,1.748996e-02,1.6429,8.353775e-03,1.8935,2749.075
DG P3,4,1,192,1.084957e+00,0.0000,5.093821e-01,0.0000,2.433
DG P3,8,2,640,5.248142e-01,1.0478,2.143983e-01,1.2485,20.107
DG P3,16,4,2304,1.637688e-01,1.6801,7.559025e-02,1.5040,147.067
DG P3,32,8,8704,5.461896e-02,1.5842,3.103781e-02,1.2842,907.075
DG P3,64,16,33792,1.748996e-02,1.6429,8.353775e-03,1.8935,4779.430
DG P4,4,1,208,1.084957e+00,0.0000,5.093821e-01,0.0000,3.355
DG P4,8,2,672,5.248143e-01,1.0478,2.143983e-01,1.2485,31.612
DG P4,16,4,2368,1.637688e-01,1.6801,7.559026e-02,1.5040,217.217
DG P4,32,8,8832,5.461897e-02,1.5842,3.103782e-02,1.2842,1353.112
