Method,Ne,Np,DoF,L2error,L2EOC,Linferror,LinfEOC,Simtime
DG P1,4,1,40,2.583146e-05,0.0000,1.812619e-05,0.0000,0.115
DG P1,8,2,144,3.357095e-07,6.2658,1.996800e-07,6.5042,0.532
DG P1,16,4,544,1.002404e-06,-1.5782,3.577293e-07,-0.8412,2.143
DG P1,32,8,2112,1.154351e-06,-0.2036,4.277108e-07,-0.2578,12.382
DG P1,64,16,8320,1.172327e-06,-0.0223,4.358730e-07,-0.0273,87.369
DG P1,128,32,33024,1.175146e-06,-0.0035,4.367653e-07,-0.0030,456.686
DG P2,4,1,44,1.742362e-06,0.0000,9.221502e-07,0.0000,0.221
DG P2,8,2,152,1.192559e-06,0.5470,4.665755e-07,0.9829,1.137
DG P2,16,4,560,1.175087e-06,0.0213,4.373203e-07,0.0934,6.471
DG P2,32,8,2144,1.174721e-06,0.0004,4.368599e-07,0.0015,34.606
DG P2,64,16,8384,1.174571e-06,0.0002,4.368508e-07,0.0000,207.273
DG P2,128,32,33152,1.181278e-06,-0.0082,4.368644e-07,-0.0000,776.303
DG P3,4,1,48,2.171774e-06,0.0000,1.310974e-06,0.0000,0.371
DG P3,8,2,160,1.191376e-06,0.8662,4.658240e-07,1.4928,1.940
DG P3,16,4,576,1.174530e-06,0.0205,4.373732e-07,0.0909,10.846
DG P3,32,8,2176,1.174727e-06,-0.0002,4.368551e-07,0.0017,45.618
DG P3,64,16,8448,1.176185e-06,-0.0018,4.368566e-07,-0.0000,296.793
DG P3,128,32,33280,1.174104e-06,0.0026,4.368753e-07,-0.0001,1190.200
DG P4,4,1,52,2.177491e-06,0.0000,1.315870e-06,0.0000,0.552
DG P4,8,2,168,1.191900e-06,0.8694,4.658186e-07,1.4982,3.020
DG P4,16,4,592,1.175244e-06,0.0203,4.373683e-07,0.0909,17.176
DG P4,32,8,2208,1.174997e-06,0.0003,4.368991e-07,0.0015,99.771
DG P4,64,16,8512,1.173750e-06,0.0015,4.368663e-07,0.0001,366.677
DG P4,128,32,33408,1.169157e-06,0.0057,4.368518e-07,0.0000,1873.618
