Method,POLYDEG,NELEM,PAR_POLYDEG,PAR_NELEM,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,L2_particle,L2EOC_particle,Linf_particle,LinfEOC_particle,L2_solid,L2EOC_solid,Linf_solid,LinfEOC_solid,Simtime
DG P1,1,4,1,1,32,96,4.168917e-03,0.0000,2.193717e-03,0.0000,1.700036e+03,0.0000,1.679409e+01,0.0000,1.016288e+03,0.0000,1.152078e+01,0.0000,0.353
DG P1,1,8,1,2,64,320,2.113520e-03,0.9800,3.027301e-04,2.8573,2.065708e+03,-0.2811,1.306844e+01,0.3619,1.289933e+03,-0.3440,1.051371e+01,0.1320,1.872
DG P1,1,16,1,4,128,1152,7.630588e-04,1.4698,1.749485e-04,0.7911,3.306989e+03,-0.6789,1.150700e+01,0.1836,1.848505e+03,-0.5191,1.051371e+01,0.0000,8.480
DG P1,1,32,1,8,256,4352,2.470228e-04,1.6272,1.031899e-04,0.7616,6.158686e+03,-0.8971,1.089528e+01,0.0788,2.735319e+03,-0.5653,1.051371e+01,0.0000,43.006
DG P1,1,64,1,16,512,16896,8.009409e-05,1.6249,4.533419e-05,1.1866,1.207197e+04,-0.9710,1.065949e+01,0.0316,4.377386e+03,-0.6784,1.051371e+01,0.0000,247.420
DG P1,1,128,1,32,1024,66560,3.653587e-05,1.1324,1.596850e-05,1.5054,2.400492e+04,-0.9917,1.059554e+01,0.0087,7.934166e+03,-0.8580,1.089286e+01,-0.0511,1511.496
DG P2,2,4,2,1,48,144,9.776819e-04,0.0000,2.097053e-04,0.0000,1.593364e+03,0.0000,1.067274e+01,0.0000,7.948635e+02,0.0000,7.997184e+00,0.0000,0.774
DG P2,2,8,2,2,96,480,4.883148e-04,1.0016,1.489998e-04,0.4931,2.518736e+03,-0.6606,1.059690e+01,0.0103,1.617887e+03,-1.0253,1.051377e+01,-0.3947,5.000
DG P2,2,16,2,4,192,1728,1.652802e-04,1.5629,8.367948e-05,0.8324,4.635252e+03,-0.8799,1.059672e+01,0.0000,2.403617e+03,-0.5711,1.051371e+01,0.0000,30.762
DG P2,2,32,2,8,384,6528,5.602999e-05,1.5606,3.326661e-05,1.3308,9.066133e+03,-0.9678,1.059615e+01,0.0001,3.898082e+03,-0.6976,1.051371e+01,0.0000,180.087
DG P2,2,64,2,16,768,25344,3.098527e-05,0.8546,6.738802e-06,2.3035,1.801355e+04,-0.9905,1.059550e+01,0.0001,7.189873e+03,-0.8832,1.231860e+01,-0.2286,1071.447
DG P2,2,128,2,32,1536,99840,3.152568e-05,-0.0249,1.104439e-05,-0.7128,3.596080e+04,-0.9973,1.059532e+01,0.0000,1.450662e+04,-1.0127,2.427247e+01,-0.9785,7244.056
DG P3,3,4,3,1,64,192,3.972038e-04,0.0000,1.388589e-04,0.0000,2.037525e+03,0.0000,1.059573e+01,0.0000,2.066619e+03,0.0000,1.554744e+01,0.0000,1.826
DG P3,3,8,3,2,128,640,1.802834e-04,1.1396,8.967938e-05,0.6308,3.309614e+03,-0.6998,1.059675e+01,-0.0001,1.962981e+03,0.0742,1.051400e+01,0.5644,12.503
DG P3,3,16,3,4,256,2304,6.274122e-05,1.5228,3.865110e-05,1.2143,6.177124e+03,-0.9003,1.059624e+01,0.0001,3.090786e+03,-0.6549,1.051371e+01,0.0000,77.764
DG P3,3,32,3,8,512,8704,3.186425e-05,0.9775,6.759011e-06,2.5156,1.210455e+04,-0.9705,1.059554e+01,0.0001,5.543998e+03,-0.8430,1.107477e+01,-0.0750,493.246
DG P3,3,64,3,16,1024,33792,3.172533e-05,0.0063,1.107471e-05,-0.7124,2.407007e+04,-0.9917,1.059534e+01,0.0000,1.112169e+04,-1.0044,2.172372e+01,-0.9720,3261.299
DG P3,3,128,3,32,2048,133120,3.073954e-05,0.0455,1.112632e-05,-0.0067,4.804158e+04,-0.9970,1.059512e+01,0.0000,2.294414e+04,-1.0447,4.251612e+01,-0.9687,21310.770
DG P4,4,4,4,1,80,240,1.986420e-04,0.0000,9.526221e-05,0.0000,2.495575e+03,0.0000,1.059686e+01,0.0000,5.334285e+02,0.0000,2.935792e+00,0.0000,2.998
DG P4,4,8,4,2,160,800,8.748895e-05,1.1830,5.303795e-05,0.8449,4.093531e+03,-0.7140,1.059644e+01,0.0001,2.375302e+03,-2.1547,1.051475e+01,-1.8406,27.665
DG P4,4,16,4,4,320,2880,3.428517e-05,1.3515,8.688206e-06,2.6099,7.678517e+03,-0.9075,1.059575e+01,0.0001,3.977855e+03,-0.7439,1.051371e+01,0.0001,175.433
DG P4,4,32,4,8,640,10880,3.220572e-05,0.0903,1.083417e-05,-0.3185,1.508859e+04,-0.9746,1.059533e+01,0.0001,7.697110e+03,-0.9523,1.716924e+01,-0.7076,1183.762
DG P4,4,64,4,16,1280,42240,3.110802e-05,0.0500,1.112587e-05,-0.0383,3.002954e+04,-0.9929,1.059525e+01,0.0000,1.546442e+04,-1.0066,3.362854e+01,-0.9699,6958.057
