Method,POLYDEG,NELEM,PAR_POLYDEG,PAR_NELEM,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
DG P1,1,4,1,1,32,96,4.168917e-03,0.0000,2.193717e-03,0.0000,0.353
DG P1,1,8,1,2,64,320,2.113520e-03,0.9800,3.027301e-04,2.8573,1.872
DG P1,1,16,1,4,128,1152,7.630588e-04,1.4698,1.749485e-04,0.7911,8.480
DG P1,1,32,1,8,256,4352,2.470228e-04,1.6272,1.031899e-04,0.7616,43.006
DG P1,1,64,1,16,512,16896,8.009409e-05,1.6249,4.533419e-05,1.1866,247.420
DG P1,1,128,1,32,1024,66560,3.653587e-05,1.1324,1.596850e-05,1.5054,1511.496
DG P2,2,4,2,1,48,144,9.776819e-04,0.0000,2.097053e-04,0.0000,0.774
DG P2,2,8,2,2,96,480,4.883148e-04,1.0016,1.489998e-04,0.4931,5.000
DG P2,2,16,2,4,192,1728,1.652802e-04,1.5629,8.367948e-05,0.8324,30.762
DG P2,2,32,2,8,384,6528,5.602999e-05,1.5606,3.326661e-05,1.3308,180.087
DG P2,2,64,2,16,768,25344,3.098527e-05,0.8546,6.738802e-06,2.3035,1071.447
DG P2,2,128,2,32,1536,99840,3.152568e-05,-0.0249,1.104439e-05,-0.7128,7244.056
DG P3,3,4,3,1,64,192,3.972038e-04,0.0000,1.388589e-04,0.0000,1.826
DG P3,3,8,3,2,128,640,1.802834e-04,1.1396,8.967938e-05,0.6308,12.503
DG P3,3,16,3,4,256,2304,6.274122e-05,1.5228,3.865110e-05,1.2143,77.764
DG P3,3,32,3,8,512,8704,3.186425e-05,0.9775,6.759011e-06,2.5156,493.246
DG P3,3,64,3,16,1024,33792,3.172533e-05,0.0063,1.107471e-05,-0.7124,3261.299
DG P3,3,128,3,32,2048,133120,3.073954e-05,0.0455,1.112632e-05,-0.0067,21310.770
DG P4,4,4,4,1,80,240,1.986420e-04,0.0000,9.526221e-05,0.0000,2.998
DG P4,4,8,4,2,160,800,8.748895e-05,1.1830,5.303795e-05,0.8449,27.665
DG P4,4,16,4,4,320,2880,3.428517e-05,1.3515,8.688206e-06,2.6099,175.433
DG P4,4,32,4,8,640,10880,3.220572e-05,0.0903,1.083417e-05,-0.3185,1183.762
DG P4,4,64,4,16,1280,42240,3.110802e-05,0.0500,1.112587e-05,-0.0383,6958.057
