Method,POLYDEG,NELEM,PAR_POLYDEG,PAR_NELEM,DoF_bulk,DoF_total,L2_outlet,L2EOC_outlet,Linf_outlet,LinfEOC_outlet,Simtime
DG P1,1,4,1,1,8,24,6.026641e-05,0.0000,4.374064e-05,0.0000,0.029
DG P1,1,8,1,2,16,80,1.089955e-05,2.4671,3.581137e-06,3.6105,0.157
DG P1,1,16,1,4,32,288,8.795642e-06,0.3094,2.947675e-06,0.2808,0.659
DG P1,1,32,1,8,64,1088,5.931702e-06,0.5683,1.903343e-06,0.6310,4.008
DG P1,1,64,1,16,128,4224,2.942768e-06,1.0113,1.053278e-06,0.8536,23.616
DG P1,1,128,1,32,256,16640,1.030643e-06,1.5136,4.013313e-07,1.3920,135.878
DG P2,2,4,2,1,12,36,9.620458e-06,0.0000,3.198844e-06,0.0000,0.084
DG P2,2,8,2,2,24,120,8.073956e-06,0.2528,2.666524e-06,0.2626,0.415
DG P2,2,16,2,4,48,432,5.207412e-06,0.6327,1.600331e-06,0.7366,2.747
DG P2,2,32,2,8,96,1632,2.206993e-06,1.2385,8.647833e-07,0.8880,17.368
DG P2,2,64,2,16,192,6336,4.578588e-07,2.2691,2.028865e-07,2.0917,92.531
DG P2,2,128,2,32,384,24960,7.737260e-08,2.5650,3.040460e-08,2.7383,661.633
DG P3,3,4,3,1,16,48,7.623491e-06,0.0000,2.486594e-06,0.0000,0.175
DG P3,3,8,3,2,32,160,5.510304e-06,0.4683,1.676034e-06,0.5691,1.000
DG P3,3,16,3,4,64,576,2.492251e-06,1.1447,9.618884e-07,0.8011,6.806
DG P3,3,32,3,8,128,2176,5.116138e-07,2.2843,2.344886e-07,2.0364,42.469
DG P3,3,64,3,16,256,8448,8.112159e-08,2.6569,3.211977e-08,2.8680,273.777
DG P3,3,128,3,32,512,33280,6.696405e-08,0.2767,2.629293e-08,0.2888,1804.154
DG P4,4,4,4,1,20,60,5.772234e-06,0.0000,1.754793e-06,0.0000,0.399
DG P4,4,8,4,2,40,200,3.371572e-06,0.7757,1.194482e-06,0.5549,2.255
DG P4,4,16,4,4,80,720,9.293853e-07,1.8591,4.280793e-07,1.4804,14.235
DG P4,4,32,4,8,160,2720,9.207530e-08,3.3354,3.670449e-08,3.5438,87.298
DG P4,4,64,4,16,320,10560,6.677882e-08,0.4634,2.950989e-08,0.3148,598.023
DG P4,4,128,4,32,640,41600,8.645362e-08,-0.3725,5.455471e-08,-0.8865,3994.508
