Nd,Ne,DoF,L2error,L2EOC,Linferror,LinfEOC,Simtime
1,16,32,2.958704e+00,0.4752,4.094256e-01,0.1971,0.278
1,32,64,2.010257e+00,0.5576,3.330060e-01,0.2981,1.091
1,64,128,1.228479e+00,0.7105,2.386589e-01,0.4806,2.418
1,128,256,6.146072e-01,0.9991,1.364978e-01,0.8061,9.466
1,256,512,2.162108e-01,1.5072,5.322939e-02,1.3586,33.516
1,512,1024,4.801327e-02,2.1709,1.294194e-02,2.0402,128.098
1,1024,2048,7.835052e-03,2.6154,2.150352e-03,2.5894,523.154
1,2048,4096,1.221063e-03,2.6818,3.379228e-04,2.6698,2325.308
1,4096,8192,2.059367e-04,2.5679,5.734341e-05,2.5590,13728.768
2,16,48,1.866821e+00,0.6330,3.201182e-01,0.3537,1.069
2,32,96,1.033716e+00,0.8527,2.087447e-01,0.6169,3.771
2,64,192,4.103062e-01,1.3331,9.396464e-02,1.1515,9.047
2,128,384,7.996432e-02,2.3593,2.057037e-02,2.1916,33.693
2,256,768,5.275016e-03,3.9221,1.513368e-03,3.7647,116.478
2,512,1536,1.831819e-04,4.8478,5.402209e-05,4.8081,518.440
2,1024,3072,6.055120e-06,4.9190,1.856237e-06,4.8631,2366.084
3,16,64,1.283624e+00,0.7971,2.431476e-01,0.5391,2.712
3,32,128,5.505895e-01,1.2212,1.197157e-01,1.0222,6.237
3,64,256,1.160824e-01,2.2458,2.816559e-02,2.0876,24.456
3,128,512,5.712136e-03,4.3450,1.631842e-03,4.1094,76.217
3,256,1024,7.845342e-05,6.1861,2.281957e-05,6.1601,316.081
3,512,2048,1.283334e-06,5.9339,4.508888e-07,5.6614,1511.629
4,16,80,9.104954e-01,0.9757,1.808518e-01,0.7588,3.467
4,32,160,2.867586e-01,1.6668,6.369035e-02,1.5057,13.228
4,64,320,2.701052e-02,3.4082,6.892779e-03,3.2079,40.194
4,128,640,3.131132e-04,6.4307,8.430150e-05,6.3534,155.843
4,256,1280,8.911433e-07,8.4568,3.091821e-07,8.0910,740.034
5,16,96,6.531298e-01,1.1710,1.334179e-01,0.9718,9.475
5,32,192,1.428654e-01,2.1927,3.153818e-02,2.0808,20.352
5,64,384,5.084392e-03,4.8124,1.269318e-03,4.6350,76.656
5,128,768,8.968369e-06,9.1470,2.392969e-06,9.0510,322.071
5,256,1536,5.425026e-07,4.0471,1.649056e-07,3.8591,1595.277
