Ne,DoF,L2error,L2EOC,Linferror,LinfEOC,Simtime
16,16,4.138557e+00,0.4923,5.237167e-01,0.0645,0.036
32,32,2.960530e+00,0.4833,4.922403e-01,0.0894,0.149
64,64,2.106554e+00,0.4910,4.489073e-01,0.1329,1.411
128,128,1.463342e+00,0.5256,3.839768e-01,0.2254,2.411
256,256,9.615504e-01,0.6058,3.171455e-01,0.2759,8.164
512,512,5.629910e-01,0.7723,2.318300e-01,0.4521,29.464
1024,1024,2.611781e-01,1.1081,1.225282e-01,0.9200,87.742
2048,2048,8.093370e-02,1.6902,3.919073e-02,1.6445,231.180
4096,4096,1.855599e-02,2.1249,9.134089e-03,2.1012,495.888
8192,8192,3.696058e-03,2.3278,1.833632e-03,2.3166,909.894
16384,16384,6.831376e-04,2.4357,3.400580e-04,2.4309,1690.223
32768,32768,1.224370e-04,2.4801,6.103386e-05,2.4781,3716.015
65536,65536,2.092416e-05,2.5488,1.045540e-05,2.5454,10247.447
131072,131072,2.888227e-06,2.8569,1.433905e-06,2.8662,21878.734
